keys,en,zh_CN,ja,ko,pt_BR,es,ru
Continue,Continue,继续,続ける,계속,Continuar,Continuar,Продолжить
New Game,New Game,新游戏,ニューゲーム,새 게임,Novo Jogo,Nuevo Juego,Новая игра
Options,Options,设置,設定,설정,Opções,Opciones,Настройки
Quit,Quit,退出,終了,종료,Sair,Salir,Выйти
COMMISSIONS,COMMISSIONS,委托,依頼,의뢰,COMISSÕES,COMISIONES,ЗАКАЗЫ
INVENTORY,INVENTORY,物品栏,インベントリ,인벤토리,INVENTÁRIO,INVENTARIO,ИНВЕНТАРЬ
OPTIONS,OPTIONS,设置,設定,설정,OPÇÕES,OPCIONES,НАСТРОЙКИ
"Quit and Return to Title Screen","Quit and Return to Title Screen",退出并返回标题画面,タイトル画面に戻る,타이틀 화면으로 돌아가기,"Sair e Voltar à Tela Inicial","Salir y Volver a la Pantalla de Título","Выйти и вернуться на заглавный экран"
SELECT A COMMISION,SELECT A COMMISION,选择委托,依頼を選択,의뢰 선택,SELECIONAR UMA COMISSÃO,SELECCIONAR UNA COMISIÓN,ВЫБРАТЬ ЗАКАЗ
COMISSION REQUEST,COMISSION REQUEST,委托详情,依頼内容,의뢰 내용,PEDIDO DE COMISSÃO,SOLICITUD DE COMISIÓN,ЗАПРОС ЗАКАЗА
Not completed,Not completed,未完成,未完了,미완료,Não concluído,No completado,Не завершено
View Results,View Results,查看结果,結果を見る,결과 보기,Ver Resultados,Ver Resultados,Посмотреть результаты
MY PAINTINGS,MY PAINTINGS,我的画作,私の絵画,내 그림,MINHAS PINTURAS,MIS PINTURAS,МОИ КАРТИНЫ
PAINTING DETAILS,PAINTING DETAILS,画作详情,絵画詳細,그림 상세,DETALHES DA PINTURA,DETALLES DE LA PINTURA,ДЕТАЛИ КАРТИНЫ
Save,Save,保存,保存,저장,Salvar,Guardar,Сохранить
Enter painting name...,Enter painting name...,输入画作名称...,絵の名前を入力...,그림 이름 입력...,Digite o nome da pintura...,Ingresa el nombre de la pintura...,Введите название картины...
Write about your painting...,Write about your painting...,描述你的画作...,絵について書く...,그림에 대해 작성...,Escreva sobre sua pintura...,Escribe sobre tu pintura...,Напишите о своей картине...
Untitled,Untitled,无题,無題,무제,Sem Título,Sin Título,Без названия
Mission Results,Mission Results,任务结果,ミッション結果,미션 결과,Resultados da Missão,Resultados de la Misión,Результаты задания
Your Painting,Your Painting,你的画作,あなたの絵,당신의 그림,Sua Pintura,Tu Pintura,Ваша картина
Target,Target,目标,目標,목표,Alvo,Objetivo,Цель
Pixel Matching Analysis,Pixel Matching Analysis,像素匹配分析,ピクセルマッチング分析,픽셀 매칭 분석,Análise de Correspondência de Pixels,Análisis de Coincidencia de Píxeles,Анализ совпадения пикселей
"Green = Matched | Red = Mismatched","Green = Matched | Red = Mismatched",绿色=匹配 | 红色=不匹配,緑=一致 | 赤=不一致,초록=일치 | 빨강=불일치,"Verde = Correspondeu | Vermelho = Não Correspondeu","Verde = Coincide | Rojo = No Coincide","Зелёный = совпадение | Красный = несовпадение"
Color Distribution Comparison,Color Distribution Comparison,颜色分布比较,色分布比較,색상 분포 비교,Comparação de Distribuição de Cores,Comparación de Distribución de Colores,Сравнение распределения цветов
Your Colors,Your Colors,你的颜色,あなたの色,당신의 색상,Suas Cores,Tus Colores,Ваши цвета
Target Colors,Target Colors,目标颜色,目標の色,목표 색상,Cores Alvo,Colores Objetivo,Целевые цвета
Score Breakdown,Score Breakdown,得分明细,スコア内訳,점수 내역,Detalhamento da Pontuação,Desglose de Puntuación,Детализация оценки
SFX Volume,SFX Volume,音效音量,効果音量,효과음 볼륨,Volume de Efeitos,Volumen de Efectos,Громкость звуков
Music Volume,Music Volume,音乐音量,音楽音量,음악 볼륨,Volume da Música,Volumen de Música,Громкость музыки
Painting Sounds,Painting Sounds,绘画音效,描画サウンド,그림 소리,Sons de Pintura,Sonidos de Pintura,Звуки рисования
Hue,Hue,色调,色相,색조,Matiz,Tono,Оттенок
Saturation,Saturation,饱和度,彩度,채도,Saturação,Saturación,Насыщенность
HUD Hue,HUD Hue,HUD 色调,HUD 色相,HUD 색조,Matiz do HUD,Tono del HUD,Оттенок HUD
Back,Back,返回,戻る,뒤로,Voltar,Volver,Назад
Your Studio,Your Studio,你的工作室,あなたのスタジオ,당신의 스튜디오,Seu Estúdio,Tu Estudio,Ваша студия
Main Menu,Main Menu,主菜单,メインメニュー,메인 메뉴,Menu Principal,Menú Principal,Главное меню
Missions,Missions,任务,ミッション,미션,Missões,Misiones,Задания
"Shop - Coming Soon","Shop - Coming Soon",商店 - 即将推出,ショップ - 近日公開,상점 - 출시 예정,"Loja - Em Breve","Tienda - Próximamente","Магазин — скоро"
"Purchase canvases, stickers, and studio upgrades","Purchase canvases, stickers, and studio upgrades",购买画布、贴纸和工作室升级,キャンバス、ステッカー、スタジオアップグレードを購入,캔버스 스티커 및 스튜디오 업그레이드 구매,"Compre telas, adesivos e melhorias para o estúdio","Compra lienzos, stickers y mejoras del estudio","Покупайте холсты, стикеры и улучшения студии"
Back to Main Menu,Back to Main Menu,返回主菜单,メインメニューに戻る,메인 메뉴로 돌아가기,Voltar ao Menu Principal,Volver al Menú Principal,Вернуться в главное меню
Show Latest,Show Latest,最新结果,最新を表示,최근 결과,Mostrar Recente,Mostrar Reciente,Показать последнее
Show Best,Show Best,最佳结果,最高を表示,최고 결과,Mostrar Melhor,Mostrar Mejor,Показать лучшее
back,back,返回,戻る,뒤로,voltar,volver,назад
Audio,Audio,音频,オーディオ,오디오,Áudio,Audio,Звук
Visual,Visual,视觉,ビジュアル,비주얼,Visual,Visual,Визуальные
Controls,Controls,控制,操作,조작,Controles,Controles,Управление
Language,Language,语言,言語,언어,Idioma,Idioma,Язык
Interact,Interact,互动,インタラクト,상호작용,Interagir,Interactuar,Взаимодействовать
Rotate,Rotate,旋转,回転,회전,Girar,Rotar,Повернуть
Scale,Scale,缩放,スケール,크기,Escala,Escala,Масштаб
Cycle,Cycle,切换,切替,순환,Ciclo,Ciclo,Цикл
Place,Place,放置,配置,배치,Colocar,Colocar,Поставить
Undo,Undo,撤销,取消,실행취소,Desfazer,Deshacer,Отменить
Drop,Drop,丢下,落とす,내려놓기,Soltar,Soltar,Бросить
Throw,Throw,投掷,投げる,던지기,Arremessar,Lanzar,Кинуть
Rotate Y,Rotate Y,Y轴旋转,Y軸回転,Y축 회전,Girar Y,Rotar Y,Поворот Y
Rotate X,Rotate X,X轴旋转,X軸回転,X축 회전,Girar X,Rotar X,Поворот X
Move,Move,移动,移動,이동,Mover,Mover,Движение
Look,Look,视角,視点,시점,Olhar,Mirar,Обзор
Jump,Jump,跳跃,ジャンプ,점프,Pular,Saltar,Прыжок
Run,Run,奔跑,走る,달리기,Correr,Correr,Бег
Paint,Paint,绘画,描く,그리기,Pintar,Pintar,Рисовать
Rotate CW,Rotate CW,顺时针旋转,時計回り,시계방향 회전,Girar Horário,Rotar Horario,Повернуть по часовой
Rotate CCW,Rotate CCW,逆时针旋转,反時計回り,반시계방향 회전,Girar Anti-Horário,Rotar Antihorario,Повернуть против часовой
Scale Up,Scale Up,放大,拡大,확대,Ampliar,Ampliar,Увеличить
Scale Down,Scale Down,缩小,縮小,축소,Reduzir,Reducir,Уменьшить
Next Sticker,Next Sticker,下一个贴纸,次のステッカー,다음 스티커,Próximo Adesivo,Siguiente Sticker,Следующий стикер
Prev Sticker,Prev Sticker,上一个贴纸,前のステッカー,이전 스티커,Adesivo Anterior,Sticker Anterior,Предыдущий стикер
Pause,Pause,暂停,ポーズ,일시정지,Pausar,Pausar,Пауза
